CAName,population
Glasgow City,635640
East Dunbartonshire,108750
East Renfrewshire,96060
Inverclyde,77060
Renfrewshire,179390
West Dunbartonshire,88340
East Lothian,107900
Midlothian,93150
West Lothian,183820
City of Edinburgh,527620
South Lanarkshire,320820
North Lanarkshire,341140
Aberdeen City,229060
Aberdeenshire,260780
Moray,95710
East Ayrshire,121600
North Ayrshire,134250
South Ayrshire,112140
Angus,115820
Dundee City,148820
Perth and Kinross,151910
Argyll and Bute,85430
Highland,235430
Clackmannanshire,51290
Falkirk,160560
Stirling,94080
Dumfries and Galloway,148290
Na h-Eileanan Siar,26500
Orkney Islands,22400
Scottish Borders,115240
Shetland Islands,22870
Fife,374130
