DataZone,SubHSCP,SubHSCPName,CA,HSCP,HB,Country
S01006506,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006507,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006508,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006509,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006510,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006511,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006512,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006513,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006514,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006515,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006516,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006517,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006518,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006519,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006520,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006521,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006522,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006523,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006524,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006525,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006526,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006527,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006528,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006529,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006530,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006531,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006532,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006533,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006534,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006535,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
S01006536,PN0000003,Aberdeen South,S12000033,S37000001,S08000020,S92000003
