"Figure 10: Median age by 6-fold Urban Rural Classification, mid-2020",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Urban Rural Classification,Male,Female,Persons,,,,,,,,,,,,
Large urban area,37,39,38,,,,,,,,,,,,
Other urban area,42,45,43,,,,,,,,,,,,
Accessible small towns,43,47,45,,,,,,,,,,,,
Accessible rural,46,47,47,,,,,,,,,,,,
Remote small towns,45,49,47,,,,,,,,,,,,
Remote rural,50,51,51,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Note,,,,,,,,,,,,,,,
Based on Scottish Government Urban Rural Classification 2016.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
