"Figure 12: Percentage of population in least deprived SIMD decile by council area, mid-2020",,,,,,,,,,,
,,,,,,,,,,,
Council area,Percentage of population in decile 10 (least deprived),,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Orkney Islands,0%,,,,,,,,,,
Shetland Islands,0%,,,,,,,,,,
Na h-Eileanan Siar,0%,,,,,,,,,,
North Lanarkshire,1%,,,,,,,,,,
North Ayrshire,1%,,,,,,,,,,
Inverclyde,3%,,,,,,,,,,
Highland,3%,,,,,,,,,,
West Dunbartonshire,3%,,,,,,,,,,
Angus,3%,,,,,,,,,,
Scottish Borders,3%,,,,,,,,,,
Dumfries and Galloway,4%,,,,,,,,,,
Clackmannanshire,5%,,,,,,,,,,
East Ayrshire,5%,,,,,,,,,,
Midlothian,5%,,,,,,,,,,
Glasgow City,6%,,,,,,,,,,
Argyll and Bute,6%,,,,,,,,,,
South Lanarkshire,6%,,,,,,,,,,
Falkirk,6%,,,,,,,,,,
Dundee City,7%,,,,,,,,,,
Moray,7%,,,,,,,,,,
South Ayrshire,8%,,,,,,,,,,
Perth and Kinross,8%,,,,,,,,,,
Renfrewshire,8%,,,,,,,,,,
West Lothian,10%,,,,,,,,,,
Aberdeenshire,10%,,,,,,,,,,
East Lothian,10%,,,,,,,,,,
Fife,11%,,,,,,,,,,
Stirling,18%,,,,,,,,,,
Aberdeen City,24%,,,,,,,,,,
East Dunbartonshire,28%,,,,,,,,,,
City of Edinburgh,31%,,,,,,,,,,
East Renfrewshire,38%,,,,,,,,,,
,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,
