"Figure 13: Median age by SIMD decile, mid-2020",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Decile,Male,Female,Persons,Decile name,,,,,,,,,,
1,36,39,37,"1
most deprived",,,,,,,,,,
2,37,40,39,2,,,,,,,,,,
3,39,42,41,3,,,,,,,,,,
4,40,43,41,4,,,,,,,,,,
5,42,46,44,5,,,,,,,,,,
6,43,45,44,6,,,,,,,,,,
7,43,46,45,7,,,,,,,,,,
8,43,45,44,8,,,,,,,,,,
9,42,45,43,9,,,,,,,,,,
10,41,44,43,"10
least deprived",,,,,,,,,,
,,,,,,,,,,,,,,
Note,,,,,,,,,,,,,,
Based on SIMD 2020v2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
