"Figure 5: Percentage of data zones by change in median age and council area, mid-2010 to mid-2020",,,,,,,,,,,,,
,,,,,,,,,,,,,
,Number of data zones,,,,Percentage of data zones,,,,,,,,
Council name,Total,Median age decrease,No change,Median age increase,Median age decrease,No change,Median age increase,,,,,,
Dundee City,188,90,0,98,48%,0%,52%,,,,,,
Glasgow City,746,317,1,428,42%,0%,57%,,,,,,
City of Edinburgh,597,216,0,381,36%,0%,64%,,,,,,
Aberdeen City,283,98,0,185,35%,0%,65%,,,,,,
Midlothian,115,38,1,76,33%,1%,66%,,,,,,
East Renfrewshire,122,41,0,81,34%,0%,66%,,,,,,
Stirling,121,38,0,83,31%,0%,69%,,,,,,
West Dunbartonshire,121,32,0,89,26%,0%,74%,,,,,,
Renfrewshire,225,57,1,167,25%,0%,74%,,,,,,
East Dunbartonshire,130,29,0,101,22%,0%,78%,,,,,,
North Lanarkshire,447,97,0,350,22%,0%,78%,,,,,,
South Ayrshire,153,33,0,120,22%,0%,78%,,,,,,
Fife,494,106,0,388,21%,0%,79%,,,,,,
East Lothian,132,27,1,104,20%,1%,79%,,,,,,
East Ayrshire,163,33,0,130,20%,0%,80%,,,,,,
West Lothian,239,47,0,192,20%,0%,80%,,,,,,
Inverclyde,114,22,0,92,19%,0%,81%,,,,,,
South Lanarkshire,431,80,0,351,19%,0%,81%,,,,,,
Falkirk,214,38,0,176,18%,0%,82%,,,,,,
Perth and Kinross,186,29,0,157,16%,0%,84%,,,,,,
North Ayrshire,186,28,0,158,15%,0%,85%,,,,,,
Clackmannanshire,72,9,1,62,13%,1%,86%,,,,,,
Highland,312,42,0,270,13%,0%,87%,,,,,,
Shetland Islands,30,4,0,26,13%,0%,87%,,,,,,
Aberdeenshire,340,44,0,296,13%,0%,87%,,,,,,
Moray,126,16,0,110,13%,0%,87%,,,,,,
Angus,155,19,0,136,12%,0%,88%,,,,,,
Argyll and Bute,125,13,0,112,10%,0%,90%,,,,,,
Dumfries and Galloway,201,20,0,181,10%,0%,90%,,,,,,
Scottish Borders,143,9,1,133,6%,1%,93%,,,,,,
Orkney Islands,29,2,0,27,7%,0%,93%,,,,,,
Na h-Eileanan Siar,36,2,0,34,6%,0%,94%,,,,,,
,,,,,,,,,,,,,
Note,,,,,,,,,,,,,
Ordered by council areas with highest proportion of data zones with an increase in median age.,,,,,,,,,,,,,
Median Age is the age at which half the population are older and half are younger.,,,,,,,,,,,,,
,,,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
