"Figure 6: Average change in median age across data zones between mid-2010 and mid-2020, by council area",,,,,,,,
,,,,,,,,
Area,Average change in median age (years),,,,,,,
Na h-Eileanan Siar,4.1,,,,,,,
Moray,3.6,,,,,,,
Clackmannanshire,3.6,,,,,,,
Dumfries and Galloway,3.6,,,,,,,
Argyll and Bute,3.6,,,,,,,
Scottish Borders,3.5,,,,,,,
Highland,3.3,,,,,,,
South Ayrshire,3.3,,,,,,,
Orkney Islands,3.3,,,,,,,
Shetland Islands,3.2,,,,,,,
Angus,3.2,,,,,,,
North Ayrshire,3.2,,,,,,,
Falkirk,3.0,,,,,,,
East Lothian,3.0,,,,,,,
Aberdeenshire,3.0,,,,,,,
Perth and Kinross,3.0,,,,,,,
Inverclyde,2.9,,,,,,,
East Ayrshire,2.8,,,,,,,
South Lanarkshire,2.8,,,,,,,
West Lothian,2.8,,,,,,,
North Lanarkshire,2.5,,,,,,,
Fife,2.5,,,,,,,
Renfrewshire,2.3,,,,,,,
West Dunbartonshire,2.3,,,,,,,
Scottish Average,2.2,,,,,,,
East Dunbartonshire,2.2,,,,,,,
Stirling,1.5,,,,,,,
Midlothian,1.4,,,,,,,
East Renfrewshire,1.2,,,,,,,
Aberdeen City,0.8,,,,,,,
City of Edinburgh,0.8,,,,,,,
Glasgow City,0.4,,,,,,,
Dundee City,-0.1,,,,,,,
,,,,,,,,
© Crown Copyright 2021,,,,,,,,
