"Figure 8: Change in population by Urban Rural Classification, mid-2010 to mid-2020",,,,,,,,,,,
,,,,,,,,,,,
,Indexed population change (100 in 2010),,,,,,,,,,
Classification,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Large urban area,100.0,101.1,101.7,102.1,102.8,103.6,104.6,105.3,105.9,106.7,106.9
Other urban area,100.0,100.6,100.7,100.8,101.0,101.2,101.4,101.5,101.4,101.4,101.1
Accessible small towns,100.0,100.7,100.6,101.0,101.0,101.0,101.6,101.8,102.0,102.2,102.2
Remote small towns,100.0,100.4,100.0,99.8,99.4,99.4,99.3,99.0,98.8,98.7,98.2
Accessible rural,100.0,100.4,101.0,101.6,102.5,103.6,104.7,105.7,106.6,107.9,109.1
Remote rural,100.0,100.0,99.9,99.7,99.9,99.8,99.9,100.1,100.1,100.1,99.7
,,,,,,,,,,,
Notes,,,,,,,,,,,
"1) Population change for each area shown as an index with the 2010 population as a base of 100. For example, the figure for 2020 Large Urban Area of 106.9 represents a 6.9% increase over 2010.",,,,,,,,,,,
2) Based on Scottish Government 6-fold Urban Rural Classification 2016.,,,,,,,,,,,
,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
