"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area, and council area: 30 June 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,,,,,,,
Area code,Area name,Council area,All ages,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+,,
,SCOTLAND,,"5,466,000","48,635","51,062","52,945","54,449","56,715","57,581","57,938","59,171","60,666","62,547","59,638","61,301","61,018","58,637","57,487","56,993","55,890","54,249","54,563","60,425","63,647","66,446","68,571","71,700","71,391","71,106","73,027","74,855","79,056","79,160","76,267","75,771","75,784","73,408","72,839","72,209","70,023","70,666","71,648","71,120","69,697","67,069","62,260","61,058","64,282","64,531","65,662","69,579","73,692","76,460","75,377","78,343","79,712","80,132","79,549","82,107","81,133","80,820","78,716","76,568","73,864","73,032","70,790","68,622","66,261","63,006","61,854","60,188","57,711","57,674","57,542","58,270","59,477","63,508","47,033","43,773","43,790","40,965","36,647","33,035","32,822","31,017","29,101","26,288","24,068","21,747","18,980","16,467","14,836","12,532","43,749",,
DataZone2011Code,DataZone2011Name,CouncilArea2019Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01006506,Culter - 01,Aberdeen City,843,5,10,3,8,7,6,12,9,9,15,13,10,7,9,12,10,6,9,7,3,4,2,4,8,9,3,11,11,20,11,21,11,4,13,8,24,14,11,17,15,14,8,7,5,7,14,18,12,18,8,17,15,12,7,11,11,15,13,12,10,13,9,18,9,6,16,10,7,13,11,1,11,11,13,6,9,10,7,4,0,3,4,4,3,3,2,2,4,2,1,6,,
S01006507,Culter - 02,Aberdeen City,790,9,6,6,8,7,10,5,8,10,8,10,10,18,4,9,0,3,7,5,6,0,7,4,10,5,8,8,10,16,14,7,11,10,9,6,8,10,8,5,5,14,10,9,12,11,7,6,8,4,12,5,8,13,5,10,18,15,10,17,9,7,17,10,14,12,20,9,7,10,18,11,13,20,21,11,3,8,6,4,8,8,6,5,9,2,3,5,3,1,4,2,,
S01006508,Culter - 03,Aberdeen City,628,5,9,7,5,2,4,11,2,12,7,6,9,3,3,6,5,6,4,3,5,3,2,2,4,11,6,10,14,17,13,16,15,20,9,11,8,9,12,5,14,7,7,8,7,3,16,9,5,19,8,7,7,10,8,15,16,7,12,8,10,11,10,2,14,5,6,5,12,8,3,9,4,3,4,3,2,3,0,4,1,0,2,1,1,1,0,1,4,0,0,5,,
S01006509,Culter - 04,Aberdeen City,507,4,3,4,4,5,7,8,5,8,7,2,8,3,7,10,6,7,8,7,4,1,2,1,3,3,3,4,4,2,9,9,8,8,4,6,5,8,9,6,2,12,12,5,8,11,4,5,8,11,6,3,7,3,5,8,4,5,9,5,3,5,8,5,6,9,7,3,6,11,8,13,8,9,12,0,2,4,4,3,4,5,4,5,4,3,0,3,1,2,1,4,,
S01006510,Culter - 05,Aberdeen City,637,2,3,5,5,4,10,2,6,5,5,8,6,7,10,8,6,7,7,2,5,4,8,8,5,6,7,6,6,11,10,12,6,17,10,2,7,6,1,8,11,8,7,3,4,10,8,6,14,10,13,8,6,13,10,9,13,6,12,10,4,15,8,9,2,10,5,3,7,7,8,3,8,2,7,5,8,5,10,7,6,5,5,9,3,1,6,3,8,3,0,21,,
S01006511,Culter - 06,Aberdeen City,759,4,10,5,5,12,3,8,6,8,6,7,11,6,10,7,8,5,8,7,5,1,4,2,18,6,5,7,11,10,7,7,12,4,17,10,10,3,3,15,8,10,3,11,9,6,12,4,6,10,11,6,12,11,13,11,13,14,10,19,10,4,12,17,18,15,7,10,11,9,9,12,7,7,12,11,14,6,3,7,10,7,14,7,1,9,0,2,3,4,2,7,,
S01006512,Culter - 07,Aberdeen City,599,2,4,10,3,7,3,1,5,2,10,3,11,11,11,11,15,10,14,7,10,4,1,4,4,3,3,3,3,6,5,9,6,4,9,3,5,4,4,3,5,1,9,7,10,7,7,10,6,7,9,15,6,7,11,14,9,14,14,13,14,5,12,15,5,10,2,8,16,18,8,10,6,6,10,4,6,6,2,0,5,1,0,4,3,0,1,1,0,1,2,4,,
