DataZone2011Code,DataZone2011Name,CouncilArea2019Name,All ages,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01010504,Lochaber West - 01,Highland,580,5,9,3,6,6,5,5,3,3,6,10,4,4,9,5,7,8,5,5,8,1,6,1,3,2,3,2,6,7,8,8,8,2,1,2,0,3,7,11,8,5,1,6,0,3,8,6,4,2,8,10,11,15,11,14,14,14,4,17,13,11,15,8,18,9,9,4,9,4,9,13,16,14,13,2,12,0,5,5,2,8,8,4,2,1,1,1,1,1,0,4
S01010505,Lochaber West - 02,Highland,513,4,4,10,1,4,9,4,1,6,3,8,5,7,4,9,6,8,0,4,1,2,4,6,4,5,3,4,2,6,6,4,1,7,10,3,1,1,3,2,9,5,2,0,5,4,7,6,6,7,9,7,5,6,10,15,10,15,18,8,9,7,11,6,11,3,7,15,7,8,9,8,5,7,3,6,4,5,5,5,4,8,3,8,5,6,4,0,4,0,2,2
S01010506,Lochaber West - 03,Highland,875,5,11,6,8,7,7,11,10,7,15,6,6,6,12,10,14,7,15,6,7,6,2,2,11,3,10,8,3,6,2,9,5,10,10,6,3,12,6,14,7,14,17,4,13,9,13,13,11,13,17,13,19,8,16,16,18,22,17,9,19,19,15,11,15,16,11,13,15,13,6,10,17,9,15,13,6,3,8,9,9,10,10,5,7,4,2,2,2,1,3,4
S01010507,Lochaber West - 04,Highland,662,4,6,8,6,6,7,4,6,2,5,8,10,4,2,9,11,8,10,7,9,4,5,4,9,7,6,12,7,6,8,9,8,5,3,5,9,7,3,1,13,7,10,4,12,12,3,16,5,5,9,15,10,8,8,20,18,9,12,18,9,8,9,8,9,13,10,3,4,16,11,7,12,8,2,6,6,4,4,10,5,2,3,3,2,4,4,4,2,2,1,7
S01010508,Lochaber West - 05,Highland,1091,8,6,7,5,5,7,8,15,3,14,10,11,16,11,22,14,15,17,9,5,8,8,8,9,7,12,9,15,10,7,4,9,9,7,14,3,8,2,15,10,6,12,14,13,19,15,16,8,14,17,24,22,28,16,22,21,21,24,19,13,20,16,13,12,24,19,20,19,12,15,21,6,14,22,12,11,16,13,10,9,5,10,3,9,8,5,6,4,3,5,3
S01010509,Lochaber West - 06,Highland,1032,2,6,9,4,6,11,8,14,7,8,7,15,8,14,14,14,17,13,15,4,19,7,6,19,6,15,8,9,3,8,7,10,10,14,11,12,17,11,16,13,14,6,15,11,9,11,12,17,18,19,20,21,33,27,21,22,11,21,17,16,15,24,18,14,12,18,6,8,7,9,18,18,14,12,17,10,10,3,3,2,6,2,1,1,7,6,0,4,5,1,3
S01010510,Fort William North - 01,Highland,1007,9,5,7,10,12,15,11,16,8,9,12,11,10,17,12,7,11,7,10,3,11,18,12,6,6,13,10,15,7,7,8,8,5,9,8,14,16,11,9,17,17,18,16,14,8,6,7,12,14,12,10,13,10,12,13,11,13,9,12,10,15,10,30,10,11,24,5,13,18,13,7,14,15,13,8,13,15,13,13,5,9,12,9,6,6,6,8,6,7,6,18
S01010511,Fort William North - 02,Highland,874,11,9,8,7,14,14,9,14,20,9,14,19,18,18,15,9,12,19,13,3,18,8,13,17,15,14,10,10,7,11,6,9,7,7,10,10,8,8,17,15,2,8,7,4,13,12,10,12,7,14,11,12,11,11,5,13,12,13,4,10,12,14,13,11,12,11,10,14,8,7,10,2,12,5,6,4,6,3,7,4,1,8,3,6,1,6,2,1,3,1,5
S01010512,Fort William North - 03,Highland,572,7,4,8,9,6,8,8,6,5,8,6,6,3,3,9,12,5,5,4,5,5,9,4,14,7,3,10,6,13,7,8,6,10,11,9,7,4,6,6,1,7,8,1,6,5,8,7,3,7,8,5,8,7,4,10,10,13,7,6,10,8,8,4,10,7,7,6,7,5,2,6,6,7,9,2,4,6,3,7,4,4,3,5,3,2,6,4,0,3,0,11
S01010513,Fort William North - 04,Highland,779,3,4,2,10,4,9,4,15,6,9,7,9,8,9,14,5,10,1,11,9,5,10,11,10,12,8,2,8,4,8,7,12,6,14,7,2,15,6,2,12,10,9,9,7,9,8,15,12,11,9,18,11,9,25,8,22,14,12,9,6,11,10,10,10,8,7,7,9,11,11,9,9,15,5,14,7,15,3,13,7,6,6,3,8,8,2,3,0,0,3,6
